day,mon,yr,hr,min,sec,pc,logon
4,1,2010,7,37,50,1689,1
4,1,2010,12,43,44,1689,1
4,1,2010,14,44,45,1689,0
5,1,2010,7,51,57,1689,1
5,1,2010,12,45,46,1689,1
5,1,2010,14,42,54,1689,0
6,1,2010,7,45,24,1689,1
6,1,2010,11,16,49,1689,1
6,1,2010,14,44,1,1689,0
7,1,2010,7,47,3,1689,1
7,1,2010,14,48,57,1689,0
8,1,2010,7,53,33,1689,1
8,1,2010,12,9,14,1689,1
8,1,2010,14,42,49,1689,0
11,1,2010,7,39,31,1689,1
11,1,2010,12,58,4,1689,1
11,1,2010,14,47,50,1689,0
12,1,2010,7,36,25,1689,1
12,1,2010,13,7,56,1689,1
12,1,2010,14,51,42,1689,0
13,1,2010,7,41,55,1689,1
13,1,2010,11,51,52,1689,1
13,1,2010,14,41,27,1689,0
14,1,2010,7,54,21,1689,1
14,1,2010,11,42,55,1689,1
14,1,2010,14,43,24,1689,0
15,1,2010,7,37,10,1689,1
15,1,2010,13,21,43,1689,1
15,1,2010,14,49,25,1689,0
18,1,2010,7,42,22,1689,1
18,1,2010,12,46,59,1689,1
18,1,2010,14,46,46,1689,0
19,1,2010,7,54,4,1689,1
19,1,2010,14,54,58,1689,0
20,1,2010,7,35,53,1689,1
20,1,2010,12,42,4,1689,1
20,1,2010,14,42,19,1689,0
21,1,2010,7,53,4,1689,1
21,1,2010,12,14,5,1689,1
21,1,2010,14,45,8,1689,0
22,1,2010,7,44,45,1689,1
22,1,2010,13,41,7,1689,1
22,1,2010,14,44,40,1689,0
25,1,2010,7,53,12,1689,1
25,1,2010,13,38,46,1689,1
25,1,2010,14,52,47,1689,0
26,1,2010,7,44,58,1689,1
26,1,2010,13,11,28,1689,1
26,1,2010,14,50,55,1689,0
27,1,2010,7,49,45,1689,1
27,1,2010,12,4,35,1689,1
27,1,2010,14,54,46,1689,0
28,1,2010,7,46,31,1689,1
28,1,2010,11,46,4,1689,1
28,1,2010,14,47,43,1689,0
29,1,2010,7,42,54,1689,1
29,1,2010,13,32,19,3248,1
29,1,2010,13,37,30,3248,0
29,1,2010,14,48,52,1689,0
1,2,2010,7,54,29,1689,1
1,2,2010,14,46,26,1689,0
2,2,2010,7,43,12,1689,1
2,2,2010,13,25,30,1689,1
2,2,2010,14,46,55,1689,0
3,2,2010,7,40,5,1689,1
3,2,2010,11,20,4,1689,1
3,2,2010,14,46,35,1689,0
4,2,2010,7,40,10,1689,1
4,2,2010,9,22,8,4971,1
4,2,2010,9,40,7,4971,0
4,2,2010,13,1,55,1689,1
4,2,2010,14,40,52,1689,0
5,2,2010,7,53,18,1689,1
5,2,2010,11,30,4,1689,1
5,2,2010,14,47,3,1689,0
8,2,2010,7,50,47,1689,1
8,2,2010,13,0,56,1689,1
8,2,2010,14,40,24,1689,0
9,2,2010,7,36,14,1689,1
9,2,2010,14,42,14,1689,0
10,2,2010,7,35,56,1689,1
10,2,2010,13,28,44,1689,1
10,2,2010,14,53,48,1689,0
11,2,2010,7,35,14,1689,1
11,2,2010,14,53,55,1689,0
12,2,2010,7,40,27,1689,1
12,2,2010,12,56,8,1397,1
12,2,2010,13,30,25,1397,0
12,2,2010,14,50,13,1689,0
15,2,2010,7,35,16,1689,1
15,2,2010,13,26,46,1689,1
15,2,2010,14,47,5,1689,0
16,2,2010,7,54,38,1689,1
16,2,2010,12,44,30,1689,1
16,2,2010,14,44,33,1689,0
17,2,2010,7,54,21,1689,1
17,2,2010,13,14,30,1689,1
17,2,2010,14,53,6,1689,0
18,2,2010,7,46,38,1689,1
18,2,2010,13,18,6,1689,1
18,2,2010,14,52,47,1689,0
19,2,2010,7,43,15,1689,1
19,2,2010,12,3,2,1689,1
19,2,2010,14,54,7,1689,0
22,2,2010,7,49,31,1689,1
22,2,2010,14,53,39,1689,0
23,2,2010,7,37,47,1689,1
23,2,2010,11,26,42,1689,1
23,2,2010,14,53,43,1689,0
24,2,2010,7,37,16,1689,1
24,2,2010,14,44,56,1689,0
25,2,2010,7,38,55,1689,1
25,2,2010,12,38,34,1689,1
25,2,2010,14,42,46,1689,0
26,2,2010,7,45,24,1689,1
26,2,2010,12,21,53,1689,1
26,2,2010,14,41,17,1689,0
1,3,2010,7,49,22,1689,1
1,3,2010,12,46,12,1689,1
1,3,2010,14,54,12,1689,0
2,3,2010,7,48,13,1689,1
2,3,2010,11,20,32,0533,1
2,3,2010,11,25,36,0533,0
2,3,2010,12,15,45,1689,1
2,3,2010,14,50,35,1689,0
3,3,2010,7,49,51,1689,1
3,3,2010,13,15,7,1689,1
3,3,2010,14,43,35,1689,0
4,3,2010,7,48,19,1689,1
4,3,2010,12,3,13,1689,1
4,3,2010,14,49,9,1689,0
5,3,2010,7,36,5,1689,1
5,3,2010,14,54,14,1689,0
8,3,2010,7,36,1,1689,1
8,3,2010,11,43,27,1689,1
8,3,2010,14,50,27,1689,0
9,3,2010,7,44,23,1689,1
9,3,2010,14,50,49,1689,0
10,3,2010,7,49,52,1689,1
10,3,2010,12,2,43,1689,1
10,3,2010,14,42,27,1689,0
11,3,2010,7,41,11,1689,1
11,3,2010,13,32,5,1689,1
11,3,2010,14,43,33,1689,0
12,3,2010,7,50,0,1689,1
12,3,2010,12,30,35,1689,1
12,3,2010,14,41,42,1689,0
15,3,2010,7,48,12,1689,1
15,3,2010,12,27,13,1689,1
