date,pc,logon
01/04/2010 07:34:58,3883,1
01/04/2010 10:50:48,2469,1
01/04/2010 10:52:58,1586,0,1
01/04/2010 11:57:01,3850,1
01/04/2010 12:21:29,3850,0
01/04/2010 15:41:19,3049,1
01/04/2010 15:54:47,3049,0
01/04/2010 16:28:06,0046,1
01/04/2010 17:16:59,0046,0
01/04/2010 18:34:52,3883,0
01/04/2010 20:23:15,3571,1
01/04/2010 20:32:07,3571,0
01/04/2010 23:09:50,2615,1
01/04/2010 23:13:57,4887,1
01/04/2010 23:22:51,4887,0
01/04/2010 23:33:45,2615,0
01/05/2010 00:41:15,1751,1
01/05/2010 00:45:14,1751,0
01/05/2010 01:48:51,1775,1
01/05/2010 02:08:58,1775,0
01/05/2010 03:38:00,1972,1
01/05/2010 03:59:23,1972,0
01/05/2010 06:05:19,3235,1
01/05/2010 06:18:45,3235,0
01/05/2010 07:28:06,3883,1
01/05/2010 10:03:16,4032,1
01/05/2010 10:29:08,0457,1
01/05/2010 10:42:01,4032,0
01/05/2010 11:06:09,0457,0
01/05/2010 11:06:29,3338,1
01/05/2010 11:15:29,3338,0
01/05/2010 11:56:34,3988,1
01/05/2010 12:09:49,3988,0
01/05/2010 15:32:36,3643,1
01/05/2010 16:14:54,3643,0
01/05/2010 18:33:37,3883,0
01/05/2010 23:06:11,1089,1
01/05/2010 23:41:52,1089,0
01/06/2010 01:03:51,3946,1
01/06/2010 01:09:44,4683,1
01/06/2010 01:28:37,3946,0
01/06/2010 01:33:16,4683,0
01/06/2010 07:27:54,3883,1
01/06/2010 09:37:32,2095,1
01/06/2010 10:07:13,2095,0
01/06/2010 11:37:04,3298,1
01/06/2010 11:47:11,3298,0
01/06/2010 12:29:58,4154,1
01/06/2010 13:01:53,4154,0
01/06/2010 14:03:54,2511,1
01/06/2010 14:24:56,2511,0
01/06/2010 16:25:47,2629,1
01/06/2010 16:50:26,2629,0
01/06/2010 16:58:49,3620,1
01/06/2010 17:40:48,3620,0
01/06/2010 18:38:37,3883,0
01/06/2010 19:51:03,0305,1
01/06/2010 19:52:41,2889,1
01/06/2010 20:23:43,0305,0
01/06/2010 20:34:27,2889,0
01/07/2010 02:21:32,1808,1
01/07/2010 02:37:20,2843,1
01/07/2010 02:56:07,1808,0
01/07/2010 03:07:59,2843,0
01/07/2010 04:02:12,3212,1
01/07/2010 04:14:56,3212,0
01/07/2010 07:30:41,3883,1
01/07/2010 18:32:52,3883,0
01/07/2010 20:40:12,0942,1
01/07/2010 21:00:11,0942,0
01/07/2010 22:43:08,1229,1
01/07/2010 22:52:23,1229,0
01/07/2010 23:47:24,3412,1
01/07/2010 23:49:52,3412,0
01/08/2010 06:40:13,0268,1
01/08/2010 07:18:57,0268,0
01/08/2010 07:20:50,3883,1
01/08/2010 10:19:01,3653,1
01/08/2010 10:19:41,3653,0
01/08/2010 10:30:40,1583,1
01/08/2010 11:05:02,1583,0
01/08/2010 12:08:32,0075,1
01/08/2010 12:11:57,0075,0
01/08/2010 13:00:59,0823,1
01/08/2010 13:13:31,0823,0
01/08/2010 18:16:33,3384,1
01/08/2010 18:34:11,3883,0
01/08/2010 18:58:07,3384,0
01/08/2010 19:50:40,4642,1
01/08/2010 19:52:14,4642,0
01/08/2010 23:08:24,3747,1
01/08/2010 23:44:48,3747,0
01/11/2010 07:23:22,3883,1
01/11/2010 12:15:12,4598,1
01/11/2010 12:21:28,2033,1
01/11/2010 12:47:11,2033,0
01/11/2010 12:52:19,4598,0
01/11/2010 18:32:18,3883,0
01/12/2010 00:46:06,0376,1
01/12/2010 00:58:23,0376,0
01/12/2010 03:30:32,2855,1
01/12/2010 03:59:15,2855,0
01/12/2010 05:47:04,0991,1
01/12/2010 06:25:34,0991,0
01/12/2010 06:49:18,3179,1
01/12/2010 07:15:07,3179,0
01/12/2010 07:25:37,3883,1
01/12/2010 08:20:07,0386,1
01/12/2010 08:31:52,0386,0
01/12/2010 10:03:03,1731,1
01/12/2010 10:13:42,1731,0
01/12/2010 17:16:32,2723,1
01/12/2010 17:30:11,2723,0
01/12/2010 18:26:22,3883,0
01/12/2010 20:31:59,3668,1
01/12/2010 20:42:07,3668,0
01/12/2010 21:08:56,1500,1
01/12/2010 21:50:36,1500,0
01/13/2010 03:32:10,0776,1
01/13/2010 03:47:10,0776,0
01/13/2010 07:21:09,3883,1
01/13/2010 07:44:24,4650,1
01/13/2010 08:07:10,4650,0
01/13/2010 11:55:21,1246,1
01/13/2010 12:00:25,1246,0
01/13/2010 16:57:13,3107,1
01/13/2010 17:12:26,1069,1
01/13/2010 17:15:22,1069,0
01/13/2010 17:19:33,3107,0
01/13/2010 18:29:11,3883,0
01/13/2010 21:53:52,4639,1
01/13/2010 22:25:00,4639,0
01/13/2010 23:17:39,3599,1
01/14/2010 00:02:12,3599,0
01/14/2010 01:16:02,1229,1
01/14/2010 01:24:42,1229,0
01/14/2010 02:35:39,3011,1
01/14/2010 03:04:27,3011,0
01/14/2010 07:27:59,4765,1
01/14/2010 07:39:15,3883,1
01/14/2010 07:41:27,4765,0
01/14/2010 07:59:14,0465,1
01/14/2010 08:38:40,0465,0
01/14/2010 13:15:17,3008,1
01/14/2010 14:05:51,3008,0
01/14/2010 18:37:29,3883,0
01/14/2010 19:07:36,1033,1
01/14/2010 19:39:25,1033,0
01/14/2010 21:00:13,1782,1
01/14/2010 21:11:37,1782,0
01/15/2010 06:34:07,4678,1
01/15/2010 06:35:42,4678,0
01/15/2010 06:52:28,0989,1
01/15/2010 07:15:52,0989,0
01/15/2010 07:38:14,3883,1
01/15/2010 15:27:10,3548,1
01/15/2010 15:36:52,3548,0
01/15/2010 16:33:43,1213,1
01/15/2010 17:04:06,1011,1
01/15/2010 17:04:33,2490,1
01/15/2010 17:04:38,1213,0
01/15/2010 17:19:28,2490,0
01/15/2010 17:44:11,1011,0
01/15/2010 18:38:20,3883,0
01/15/2010 20:49:33,4532,1
01/15/2010 21:29:57,4532,0
01/15/2010 21:52:40,0264,1
01/15/2010 22:29:17,0264,0
01/18/2010 00:43:45,3489,1
01/18/2010 01:16:45,3489,0
01/18/2010 06:34:25,2734,1
01/18/2010 06:55:33,2734,0
01/18/2010 07:30:34,3883,1
01/18/2010 08:35:54,1688,1
01/18/2010 09:18:17,1688,0
